id	x	y	group	color	size	metadata
_h5_4080	19640.1	22294.21	198	CB6D51	30	regular
_h5_4329	19484.38	22575.97	198	CB6D51	30	regular
_h5_4588	19642.17	22332.79	198	CB6D51	30	regular
_h5_4272	18636.98	17937.98	40	996666	30	regular
_h5_4187	18596.5	17862.2	40	996666	30	regular
_h5_4629	18600.14	17913.27	40	996666	30	regular
_h5_4273	26285.91	14427.48	1	C2B280	30	regular
_h5_3988	26271.72	14485.51	1	C2B280	30	regular
_h5_4110	26299.24	14322.61	1	C2B280	30	regular
_h5_4149	26365.76	14263.55	1	C2B280	30	regular
_h5_4198	26259.02	14649.97	1	C2B280	30	regular
_h5_4087	26364.69	14231.22	1	C2B280	30	regular
_h5_4270	19729.16	20983.48	193	FF3800	30	regular
_h5_4526	19706.75	20813.97	51	CCFF00	30	regular
_h5_4271	12454.32	28625.71	2	FF7F50	30	regular
_h5_4162	12597.27	28593.48	2	FF7F50	30	regular
_h5_4221	12533.17	28607.91	2	FF7F50	30	regular
_h5_3609	4722.17	19710.65	-1	000	10	regular
_h5_3606	20822.45	16339.94	110	F88379	30	regular
_h5_3724	20821.88	16327.57	110	F88379	30	regular
_h5_4323	20822.76	16347.13	110	F88379	30	regular
_h5_3607	22878.52	21302.56	103	FF4040	30	regular
_h5_3741	22950.55	21340.03	103	FF4040	30	regular
_h5_3768	22978.54	21326.02	103	FF4040	30	regular
_h5_3985	23132.58	21344.43	103	FF4040	30	regular
_h5_4093	22686.09	21246.92	11	44D7A8	30	regular
_h5_4404	22891.77	21327.23	103	FF4040	30	regular
_h5_4411	23165.43	21365.77	103	FF4040	30	regular
_h5_4599	19784.87	21699.24	267	00FF00	30	regular
_h5_4572	19782.27	21799.95	20	893F45	30	regular
_h5_4611	19782.28	21743.45	267	00FF00	30	regular
_h5_4707	40650.69	8096.21	-1	000	10	regular
_h6_24	6943.94	15048.38	-1	000	10	regular
_h6_25	44251.85	8875.48	410	FBEC5D	30	regular
_h5_4860	44168.26	8928.72	410	FBEC5D	30	regular
_h6_20	14665.61	26784.76	361	B31B1B	30	regular
